0 256 256
1 256.5 256.5
2 257 257
3 257.5 257.5
4 258 258
5 258.5 258.5
6 259 259
7 259.5 259.5
8 260 260
9 260.5 260.5
10 261 261
11 261.5 261.5
12 262 262
13 262.5 262.5
14 263 263
15 263.5 263.5
16 264 264
17 264.5 264.5
18 265 265
19 265.5 265.5
20 266 266
21 266.5 266.5
22 267 267
23 267.5 267.5
24 268 268
25 268.5 268.5
26 269 269
27 269.5 269.5
28 270 270
29 270.5 270.5
30 271 271
31 271.5 271.5
32 272 272
33 272.5 272.5
34 273 273
35 273.5 273.5
36 274 274
37 274.5 274.5
38 275 275
39 275.5 275.5
40 276 276
41 276.5 276.5
42 277 277
43 277.5 277.5
44 278 278
45 278.5 278.5
46 279 279
47 279.5 279.5
48 280 280
49 280.5 280.5
50 281 281
51 281.5 281.5
52 282 282
53 282.5 282.5
54 283 283
55 283.5 283.5
56 284 284
57 284.5 284.5
58 285 285
59 285.5 285.5
60 286 286
61 286.5 286.5
62 287 287
63 287.5 287.5
64 288 288
65 288.5 288.5
66 289 289
67 289.5 289.5
68 290 290
69 290.5 290.5
70 291 291
71 291.5 291.5
72 292 292
73 292.5 292.5
74 293 293
75 293.5 293.5
76 294 294
77 294.5 294.5
78 295 295
79 295.5 295.5
80 296 296
81 296.5 296.5
82 297 297
83 297.5 297.5
84 298 298
85 298.5 298.5
86 299 299
87 299.5 299.5
88 300 300
89 300.5 300.5
90 301 301
91 301.5 301.5
92 302 302
93 302.5 302.5
94 303 303
95 303.5 303.5
96 304 304
97 304.5 304.5
98 305 305
99 305.5 305.5
100 306 306
101 306.5 306.5
102 307 307
103 307.5 307.5
104 308 308
105 308.5 308.5
106 309 309
107 309.5 309.5
108 310 310
109 310.5 310.5
110 311 311
111 311.5 311.5
112 312 312
113 312.5 312.5
114 313 313
115 313.5 313.5
116 314 314
117 314.5 314.5
118 315 315
119 315.5 315.5
120 316 316
121 316.5 316.5
122 317 317
123 317.5 317.5
124 318 318
125 318.5 318.5
126 319 319
127 319.5 319.5
128 320 320
129 320.5 320.5
130 321 321
131 321.5 321.5
132 322 322
133 322.5 322.5
134 323 323
135 323.5 323.5
136 324 324
137 324.5 324.5
138 325 325
139 325.5 325.5
140 326 326
141 326.5 326.5
142 327 327
143 327.5 327.5
144 328 328
145 328.5 328.5
146 329 329
147 329.5 329.5
148 330 330
149 330.5 330.5
150 331 331
151 331.5 331.5
152 332 332
153 332.5 332.5
154 333 333
155 333.5 333.5
156 334 334
157 334.5 334.5
158 335 335
159 335.5 335.5
160 336 336
161 336.5 336.5
162 337 337
163 337.5 337.5
164 338 338
165 338.5 338.5
166 339 339
167 339.5 339.5
168 340 340
169 340.5 340.5
170 341 341
171 341.5 341.5
172 342 342
173 342.5 342.5
174 343 343
175 343.5 343.5
176 344 344
177 344.5 344.5
178 345 345
179 345.5 345.5
180 346 346
181 346.5 346.5
182 347 347
183 347.5 347.5
184 348 348
185 348.5 348.5
186 349 349
187 349.5 349.5
188 350 350
189 350.5 350.5
190 351 351
191 351.5 351.5
192 352 352
193 352.5 352.5
194 353 353
195 353.5 353.5
196 354 354
197 354.5 354.5
198 355 355
199 355.5 355.5
200 356 356
201 356.5 356.5
202 357 357
203 357.5 357.5
204 358 358
