11313, 1
6789, 1
6841, 3
6942, 4
6997, 5
7628, 6
7823, 7
8030, 8
8825, 9
8950, 10
9277, 11
9292, 12
9542, 13
9571, 14
10024, 15
10874, 16
10900, 17
11064, 18
11235, 19
11418, 20
11758, 21
11969, 22
12075, 23
12139, 24
12161, 25
12235, 26
12744, 27
12787, 28
13143, 29
13204, 30
13275, 31
6688, 1
6695, 2
6709, 3
6733, 4
6742, 5
6757, 6
6771, 7
6800, 8
6804, 9
6822, 10
7004, 11
7012, 12
7041, 13
7071, 14
7100, 15
7109, 16
7131, 17
7159, 18
7332, 19
7366, 20
7510, 21
7620, 22
7667, 23
7746, 24
7762, 25
7771, 26
7982, 27
7991, 28
8013, 29
8056, 30
8099, 31
8111, 32
8206, 33
8208, 34
8216, 35
8235, 36
8239, 37
8270, 38
8329, 39
8469, 40
8479, 41
8501, 42
8513, 43
8699, 44
8713, 45
8714, 46
8771, 47
8788, 48
8789, 49
8808, 50
8926, 51
8964, 52
8966, 53
9172, 54
9177, 55
9179, 56
9198, 57
9226, 58
9285, 59
9345, 60
9354, 61
9375, 62
9404, 63
9539, 64
9540, 65
9546, 66
9555, 67
9590, 68
9686, 69
9778, 70
9809, 71
9875, 72
9887, 73
9923, 74
10026, 75
10030, 76
10094, 77
10194, 78
10204, 79
10218, 80
10241, 81
10318, 82
10373, 83
10400, 84
10416, 85
10557, 86
10558, 87
10587, 88
10594, 89
10634, 90
10709, 91
10718, 92
10723, 93
10798, 94
10848, 95
10942, 96
10960, 97
10975, 98
10978, 99
11002, 100
11012, 101
11083, 102
11087, 103
11125, 104
11188, 105
11254, 106
11327, 107
11365, 108
11376, 109
11404, 110
11406, 111
11409, 112
11479, 113
11487, 114
11568, 115
11603, 116
11661, 117
11741, 118
11759, 119
11921, 120
11923, 121
12023, 122
12040, 123
12108, 124
12183, 125
12191, 126
12214, 127
12277, 128
12391, 129
12393, 130
12421, 131
12476, 132
12494, 133
12527, 134
12549, 135
12632, 136
12639, 137
12643, 138
12698, 139
12720, 140
12744, 141
