Start  Time: 2024/07/04, 13:29:11.915
Export Time: 2024/07/04, 13:29:19.431
Min  (dBA):   69.6
Max  (dBA):   76.4
Peak (dBA):   78.7
Avg  (dBA):   72.4
TWA  (dBA):   0.0
Dose (%):    0.0

Recorded Value (dBA),Response Time (seconds)
70.6,0.2
70.8,0.2
72.1,0.2
69.8,0.2
69.6,0.2
70.8,0.2
70.2,0.2
70.3,0.2
70.5,0.2
70.0,0.2
70.2,0.2
70.5,0.2
69.7,0.2
70.8,0.2
71.7,0.2
71.5,0.2
70.1,0.2
72.6,0.2
72.5,0.2
71.8,0.2
70.8,0.2
70.9,0.2
72.2,0.2
71.8,0.2
72.3,0.2
70.9,0.2
70.4,0.2
70.8,0.2
72.3,0.2
71.1,0.2
71.4,0.2
70.8,0.2
70.0,0.2
70.2,0.2
70.4,0.2
70.4,0.2
69.8,0.2
70.2,0.2
70.7,0.2
70.0,0.2
70.8,0.2
70.4,0.2
70.9,0.2
70.8,0.2
71.4,0.2
71.9,0.2
71.1,0.2
71.2,0.2
71.6,0.2
71.5,0.2
70.7,0.2
72.9,0.2
72.7,0.2
71.8,0.2
71.7,0.2
72.2,0.2
72.1,0.2
73.3,0.2
73.8,0.2
72.8,0.2
71.3,0.2
71.2,0.2
71.2,0.2
71.4,0.2
70.5,0.2
70.3,0.2
71.3,0.2
71.3,0.2
71.0,0.2
71.3,0.2
71.4,0.2
72.3,0.2
74.3,0.2
72.7,0.2
72.1,0.2
71.6,0.2
71.1,0.2
71.7,0.2
72.8,0.2
73.1,0.2
72.2,0.2
71.6,0.2
72.6,0.2
72.3,0.2
75.2,0.2
73.1,0.2
73.0,0.2
72.4,0.2
72.3,0.2
72.9,0.2
72.3,0.2
73.1,0.2
72.6,0.2
74.6,0.2
75.5,0.2
76.0,0.2
76.4,0.2
75.5,0.2
74.4,0.2
73.5,0.2
74.3,0.2
72.1,0.2
72.2,0.2
72.3,0.2
71.3,0.2
72.3,0.2
73.4,0.2
74.9,0.2
72.3,0.2
72.4,0.2
71.9,0.2
73.1,0.2
71.4,0.2
72.6,0.2
72.9,0.2
73.2,0.2
74.2,0.2
72.5,0.2
72.4,0.2
72.7,0.2
73.7,0.2
72.8,0.2
72.2,0.2
72.1,0.2
72.5,0.2
73.8,0.2
73.7,0.2
72.4,0.2
74.2,0.2
76.3,0.2
75.2,0.2
74.3,0.2
74.0,0.2
73.3,0.2
73.5,0.2
74.5,0.2
74.1,0.2
73.6,0.2
73.3,0.2
72.1,0.2
70.9,0.2
