Start  Time: 2024/07/04, 13:40:56.373
Export Time: 2024/07/04, 13:41:09.012
Min  (dBA):   67.0
Max  (dBA):   71.7
Peak (dBA):   74.6
Avg  (dBA):   69.4
TWA  (dBA):   0.0
Dose (%):    0.0

Recorded Value (dBA),Response Time (seconds)
68.7,0.2
70.5,0.2
70.1,0.2
69.7,0.2
69.2,0.2
69.7,0.2
69.9,0.2
69.4,0.2
70.3,0.2
70.9,0.2
69.6,0.2
69.6,0.2
69.4,0.2
69.0,0.2
69.1,0.2
68.2,0.2
69.4,0.2
69.4,0.2
67.8,0.2
67.7,0.2
67.9,0.2
67.9,0.2
68.6,0.2
68.7,0.2
68.3,0.2
68.2,0.2
69.0,0.2
69.0,0.2
69.9,0.2
68.4,0.2
69.3,0.2
70.2,0.2
70.1,0.2
69.7,0.2
69.4,0.2
69.9,0.2
70.7,0.2
70.2,0.2
70.9,0.2
69.5,0.2
69.2,0.2
69.0,0.2
69.5,0.2
68.4,0.2
69.3,0.2
68.9,0.2
69.2,0.2
70.8,0.2
68.8,0.2
69.8,0.2
70.7,0.2
69.1,0.2
69.8,0.2
69.5,0.2
69.2,0.2
69.0,0.2
68.0,0.2
69.1,0.2
69.8,0.2
70.2,0.2
70.9,0.2
69.8,0.2
68.7,0.2
68.9,0.2
68.3,0.2
68.5,0.2
68.2,0.2
68.6,0.2
70.0,0.2
69.9,0.2
69.4,0.2
69.9,0.2
70.6,0.2
70.2,0.2
69.8,0.2
68.2,0.2
68.1,0.2
67.7,0.2
67.0,0.2
67.1,0.2
68.2,0.2
69.0,0.2
68.9,0.2
69.4,0.2
69.6,0.2
70.0,0.2
69.8,0.2
69.5,0.2
68.7,0.2
69.2,0.2
69.0,0.2
69.0,0.2
69.4,0.2
69.7,0.2
69.2,0.2
69.2,0.2
70.2,0.2
69.6,0.2
69.3,0.2
69.2,0.2
69.2,0.2
69.0,0.2
69.1,0.2
69.1,0.2
68.0,0.2
68.6,0.2
67.9,0.2
68.1,0.2
68.6,0.2
67.8,0.2
69.6,0.2
69.7,0.2
69.5,0.2
69.3,0.2
67.8,0.2
69.4,0.2
69.5,0.2
70.3,0.2
69.7,0.2
69.5,0.2
69.5,0.2
70.8,0.2
70.4,0.2
69.7,0.2
70.0,0.2
69.2,0.2
69.5,0.2
68.8,0.2
70.3,0.2
69.6,0.2
69.9,0.2
70.1,0.2
70.9,0.2
70.7,0.2
70.8,0.2
71.7,0.2
70.9,0.2
70.2,0.2
69.8,0.2
69.5,0.2
69.7,0.2
69.0,0.2
